mean_trel
L\p,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019
5,245,267,149,115,98,68,64,112,32
7,783,251,223,173,248,149,104,61,52
9,646,473,370,134,113,119,116,81,38
13,1104,887,760,345,162,272,65,70,60
19,2163,1483,642,555,390,177,71,58,40

error_trel
L\p,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019
5,237.075937201564,206.787330366249,177.620381713361,155.643824162734,63.2139225171164,54.5527267879434,59.6992462263972,91.7387595294377,19.3907194296653
7,738.593934445714,336.435729374869,184.230833467148,116.794691660195,222.117086240568,99.2421281513048,87.3155198117723,40.853396431631,49.152822909778
9,718.375946145192,612.373252191831,240.12496746486,76.8374908491942,110.186206033242,108.577161502776,101.705457080729,57.6974869470066,20.3960780543711
13,639.377822574415,822.326577461777,632.882295533696,196.481551296808,125.283678106927,243.959012950946,43.4165866921848,44.497190922574,44.0454310910905
19,2627.24970263582,1661.37322718286,492.520050353283,475.021052165059,438.429013638468,171.11691909335,47.4236228055175,46.4327470649756,38.9871773792359
